epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3791.9,1.04566,0.56239,1.2625,0.96279,0.98524,0.97795,0.7136,1.01408,0.42065,1.14809,0.00920723,0.00920723,0.00920723
43,3881.32,1.03444,0.56504,1.26477,0.96468,0.98256,0.97529,0.70107,1.05805,0.42955,1.09549,0.00918789,0.00918789,0.00918789
44,3970.21,1.046,0.56547,1.25935,0.96255,0.98155,0.97602,0.71298,0.99242,0.41976,1.10469,0.00916855,0.00916855,0.00916855
45,4059.78,1.03466,0.55899,1.24951,0.96633,0.97954,0.97424,0.72088,1.01047,0.42302,1.0908,0.00914922,0.00914922,0.00914922
46,4148.46,1.02144,0.54653,1.23749,0.9662,0.98063,0.97457,0.7133,1.00841,0.42075,1.14108,0.00912988,0.00912988,0.00912988
47,4237.68,1.04814,0.5545,1.25224,0.96551,0.98145,0.97555,0.72074,1.00939,0.39963,1.08482,0.00911055,0.00911055,0.00911055
48,4327.08,1.02688,0.55193,1.23726,0.9635,0.98616,0.97878,0.71079,1.02027,0.423,1.09495,0.00909121,0.00909121,0.00909121
49,4416.27,1.02813,0.54743,1.24275,0.9672,0.97937,0.97655,0.71906,1.00653,0.41739,1.10603,0.00907188,0.00907188,0.00907188
50,4506.16,1.04226,0.54855,1.25012,0.96046,0.98593,0.97321,0.70548,1.01156,0.42205,1.09065,0.00905254,0.00905254,0.00905254
51,4595.54,1.03633,0.54858,1.25386,0.96118,0.98339,0.97636,0.71432,1.01306,0.41117,1.11998,0.0090332,0.0090332,0.0090332
52,4685.37,1.0248,0.54679,1.24929,0.95869,0.98493,0.97909,0.709,1.01757,0.41805,1.08241,0.00901387,0.00901387,0.00901387
53,4774.19,1.03034,0.54758,1.24842,0.96142,0.98155,0.97691,0.70827,1.00674,0.418,1.10554,0.00899453,0.00899453,0.00899453
54,4862.8,1.03092,0.54971,1.24999,0.95904,0.98432,0.97924,0.71834,1.00427,0.41955,1.08829,0.0089752,0.0089752,0.0089752
55,4951.62,1.02834,0.5388,1.25159,0.96444,0.98339,0.97278,0.7008,1.03303,0.40794,1.10067,0.00895586,0.00895586,0.00895586
56,5041.4,1.01839,0.54252,1.24374,0.96552,0.9797,0.97719,0.71687,1.0229,0.42835,1.10998,0.00893652,0.00893652,0.00893652
57,5132.07,1.02856,0.53679,1.25196,0.96534,0.97647,0.97619,0.71879,1.00325,0.4132,1.09504,0.00891719,0.00891719,0.00891719
58,5221.45,1.03067,0.54421,1.244,0.96628,0.9781,0.97344,0.70816,1.01572,0.41518,1.10536,0.00889785,0.00889785,0.00889785
