epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3114.56,1.05111,0.44858,1.13645,0.94296,0.9642,0.98677,0.71186,1.1022,0.41314,1.23274,0.00136578,0.00136578,0.00136578
43,3187.96,1.04137,0.44344,1.12085,0.93797,0.9665,0.98512,0.67936,1.19493,0.42948,1.29976,0.00135031,0.00135031,0.00135031
44,3261.26,1.04887,0.44443,1.12719,0.9419,0.96865,0.98672,0.69794,1.15374,0.41692,1.274,0.00133484,0.00133484,0.00133484
45,3334.27,1.05134,0.44714,1.12803,0.94258,0.96577,0.98641,0.67567,1.22545,0.43135,1.32295,0.00131938,0.00131938,0.00131938
46,3407.74,1.03769,0.44298,1.11822,0.94278,0.96486,0.98618,0.70311,1.12594,0.41314,1.24736,0.00130391,0.00130391,0.00130391
47,3482.35,1.04172,0.4423,1.12249,0.93914,0.96852,0.9862,0.71317,1.09083,0.40555,1.22708,0.00128844,0.00128844,0.00128844
48,3555.45,1.03855,0.44441,1.12383,0.94422,0.96326,0.98605,0.69902,1.12866,0.41623,1.25618,0.00127297,0.00127297,0.00127297
49,3628.45,1.04095,0.43959,1.12979,0.93991,0.96415,0.98457,0.64644,1.30871,0.44922,1.4014,0.0012575,0.0012575,0.0012575
50,3701.68,1.03455,0.43906,1.1226,0.94349,0.96616,0.98646,0.68526,1.20517,0.42572,1.3097,0.00124203,0.00124203,0.00124203
51,3774.82,1.02773,0.4357,1.11784,0.94126,0.9669,0.98648,0.72166,1.07732,0.40333,1.21476,0.00122656,0.00122656,0.00122656
52,3848.34,1.03093,0.43972,1.11475,0.93863,0.96911,0.98613,0.69185,1.16784,0.41748,1.27787,0.00121109,0.00121109,0.00121109
53,3921.77,1.03719,0.43958,1.12077,0.93689,0.96568,0.98471,0.68393,1.20868,0.43068,1.30646,0.00119562,0.00119562,0.00119562
54,3995.3,1.01837,0.43134,1.10651,0.94181,0.96486,0.9858,0.69487,1.16773,0.42151,1.27481,0.00118016,0.00118016,0.00118016
55,4068.35,1.03154,0.43582,1.12545,0.94063,0.96527,0.98638,0.68525,1.20443,0.42384,1.308,0.00116469,0.00116469,0.00116469
56,4141.89,1.02713,0.43565,1.12076,0.94228,0.96384,0.98631,0.69603,1.16301,0.41649,1.27915,0.00114922,0.00114922,0.00114922
57,4215.12,1.01955,0.43393,1.1208,0.94227,0.96601,0.98621,0.71105,1.12523,0.40836,1.25264,0.00113375,0.00113375,0.00113375
58,4287.9,1.02539,0.43492,1.10843,0.94497,0.96156,0.98645,0.69852,1.16209,0.41646,1.27829,0.00111828,0.00111828,0.00111828
59,4361.16,1.01445,0.42974,1.10995,0.9437,0.96321,0.98551,0.70342,1.12121,0.41197,1.24677,0.00110281,0.00110281,0.00110281
