epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3226.54,1.08103,0.46883,1.14074,0.94305,0.96522,0.98596,0.71587,1.04643,0.40354,1.19688,0.00920723,0.00920723,0.00920723
43,3295.89,1.07533,0.46586,1.12597,0.93723,0.96723,0.98547,0.70001,1.10812,0.41753,1.23752,0.00918789,0.00918789,0.00918789
44,3395.39,1.0781,0.46868,1.12303,0.93841,0.96751,0.98583,0.70957,1.07953,0.41429,1.21542,0.00916855,0.00916855,0.00916855
45,3462.83,1.06739,0.46388,1.12122,0.93466,0.96741,0.98478,0.67019,1.19894,0.43519,1.30239,0.00914922,0.00914922,0.00914922
46,3537.89,1.07636,0.46385,1.12423,0.943,0.96162,0.98611,0.71741,1.04294,0.4062,1.19256,0.00912988,0.00912988,0.00912988
47,3606.1,1.06668,0.46527,1.12273,0.93921,0.96735,0.98565,0.69215,1.10488,0.41601,1.23895,0.00911055,0.00911055,0.00911055
48,3673.84,1.06224,0.45835,1.12111,0.93998,0.96442,0.98543,0.69166,1.14138,0.41894,1.26046,0.00909121,0.00909121,0.00909121
49,3762.43,1.06975,0.45947,1.13854,0.93852,0.9703,0.98586,0.70364,1.0826,0.4074,1.22216,0.00907188,0.00907188,0.00907188
50,3829.34,1.07237,0.45927,1.12896,0.94139,0.96222,0.9854,0.69451,1.13028,0.41261,1.25266,0.00905254,0.00905254,0.00905254
51,3897.14,1.06353,0.45656,1.12255,0.93876,0.96786,0.98525,0.70158,1.09888,0.40895,1.237,0.0090332,0.0090332,0.0090332
52,3965.4,1.06243,0.45637,1.12022,0.93461,0.97019,0.98514,0.69286,1.14101,0.41774,1.26238,0.00901387,0.00901387,0.00901387
53,4034.76,1.05262,0.45673,1.11573,0.94432,0.96496,0.98662,0.73076,1.00911,0.39212,1.17563,0.00899453,0.00899453,0.00899453
54,4208.06,1.05837,0.45457,1.11655,0.94105,0.96583,0.98596,0.72395,1.02922,0.39585,1.18781,0.0089752,0.0089752,0.0089752
55,4273.78,1.05144,0.45291,1.12083,0.94151,0.96498,0.98572,0.73355,1.00749,0.38989,1.17445,0.00895586,0.00895586,0.00895586
56,4342.95,1.04671,0.45274,1.1123,0.93961,0.96991,0.98613,0.70505,1.10226,0.40403,1.24379,0.00893652,0.00893652,0.00893652
57,4409.12,1.0535,0.45298,1.12325,0.9393,0.96735,0.98608,0.68473,1.1662,0.41495,1.27919,0.00891719,0.00891719,0.00891719
58,4475.12,1.04678,0.44881,1.10011,0.94099,0.96649,0.98593,0.70896,1.08211,0.40484,1.22051,0.00889785,0.00889785,0.00889785
59,4542.23,1.04629,0.45026,1.10981,0.9401,0.96766,0.98557,0.7062,1.08345,0.40336,1.21912,0.00887852,0.00887852,0.00887852
60,4610.24,1.04854,0.44996,1.10927,0.94117,0.96542,0.98557,0.66953,1.22624,0.4277,1.32912,0.00885918,0.00885918,0.00885918
61,4676.69,1.04633,0.44921,1.10954,0.94577,0.96583,0.98672,0.71272,1.07002,0.4003,1.21002,0.00883984,0.00883984,0.00883984
