epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3452.15,2.18871,0.89308,2.28811,0.93998,0.96039,0.98404,0.69713,2.25814,0.78295,2.50162,0.00920723,0.00920723,0.00920723
43,3520.28,2.17028,0.88433,2.25368,0.93768,0.96095,0.98437,0.73486,2.02846,0.73192,2.36238,0.00918789,0.00918789,0.00918789
44,3652.08,2.17028,0.88589,2.24449,0.94091,0.95548,0.98323,0.68497,2.35797,0.80209,2.58202,0.00916855,0.00916855,0.00916855
45,3714.14,2.15649,0.88355,2.24537,0.93592,0.96248,0.98423,0.71136,2.17982,0.76034,2.44663,0.00914922,0.00914922,0.00914922
46,3795.37,2.17191,0.87843,2.24839,0.94133,0.964,0.98464,0.73138,2.07295,0.73896,2.38709,0.00912988,0.00912988,0.00912988
47,3884.36,2.17041,0.89144,2.25608,0.93583,0.96603,0.984,0.72149,2.11507,0.74357,2.41717,0.00911055,0.00911055,0.00911055
48,3945.36,2.14586,0.87344,2.24578,0.93631,0.96263,0.98371,0.71519,2.15518,0.74518,2.43529,0.00909121,0.00909121,0.00909121
49,4131.72,2.16512,0.87866,2.28014,0.93936,0.961,0.98435,0.72091,2.13854,0.75628,2.43259,0.00907188,0.00907188,0.00907188
50,4192.63,2.16343,0.87717,2.25901,0.93707,0.95254,0.98285,0.7044,2.24006,0.79319,2.49221,0.00905254,0.00905254,0.00905254
51,4254.03,2.15454,0.86931,2.25158,0.93763,0.96064,0.98377,0.68638,2.34732,0.78733,2.57174,0.0090332,0.0090332,0.0090332
52,4324.48,2.16075,0.87267,2.25094,0.93968,0.95853,0.98436,0.7143,2.1543,0.75826,2.43845,0.00901387,0.00901387,0.00901387
53,4392.36,2.13673,0.87358,2.2407,0.94106,0.96034,0.9849,0.71223,2.17923,0.75138,2.46263,0.00899453,0.00899453,0.00899453
54,4474.34,2.14479,0.86526,2.23976,0.9393,0.95637,0.98379,0.72933,2.0959,0.75125,2.39655,0.0089752,0.0089752,0.0089752
55,4535.59,2.12106,0.85912,2.2415,0.94219,0.95581,0.98384,0.72955,2.07582,0.74208,2.38853,0.00895586,0.00895586,0.00895586
56,4609.39,2.12509,0.86433,2.23445,0.94268,0.95997,0.98483,0.71034,2.23762,0.76257,2.49904,0.00893652,0.00893652,0.00893652
57,4670.43,2.13851,0.86595,2.2567,0.94414,0.95659,0.9843,0.71037,2.17667,0.76042,2.4528,0.00891719,0.00891719,0.00891719
58,4733.89,2.12301,0.85338,2.20809,0.94214,0.95688,0.98436,0.7071,2.20143,0.76119,2.46493,0.00889785,0.00889785,0.00889785
59,4795.62,2.12289,0.85969,2.2262,0.94051,0.96196,0.98443,0.71482,2.17365,0.75048,2.45226,0.00887852,0.00887852,0.00887852
60,4862.22,2.1175,0.85567,2.22108,0.93996,0.96374,0.98575,0.73655,2.03775,0.71576,2.36649,0.00885918,0.00885918,0.00885918
61,4923.46,2.13115,0.85993,2.23147,0.94071,0.96325,0.98471,0.71605,2.18053,0.74383,2.46086,0.00883984,0.00883984,0.00883984
62,4993.95,2.13007,0.85903,2.22676,0.94092,0.96364,0.98557,0.74192,2.00903,0.71384,2.34626,0.00882051,0.00882051,0.00882051
63,5373.54,2.12274,0.86239,2.24063,0.93936,0.95551,0.98277,0.67706,2.42193,0.80125,2.61881,0.00880117,0.00880117,0.00880117
64,5446.52,2.13398,0.85967,2.24018,0.94153,0.96215,0.98463,0.72779,2.0937,0.73271,2.40189,0.00878184,0.00878184,0.00878184
65,5507.33,2.12198,0.85338,2.22233,0.9385,0.96291,0.98515,0.74102,2.01189,0.71537,2.34423,0.0087625,0.0087625,0.0087625
66,5602.29,2.12495,0.85852,2.2383,0.93568,0.96387,0.98242,0.67049,2.43714,0.80617,2.63232,0.00874316,0.00874316,0.00874316
67,5663.25,2.1128,0.85468,2.24435,0.94145,0.96064,0.98468,0.724,2.11264,0.73692,2.40908,0.00872383,0.00872383,0.00872383
68,5726.73,2.11136,0.8485,2.22382,0.93865,0.96627,0.98497,0.71074,2.20148,0.74959,2.48134,0.00870449,0.00870449,0.00870449
69,5794.08,2.10476,0.84861,2.21203,0.93828,0.96517,0.98397,0.69718,2.23896,0.75538,2.50112,0.00868516,0.00868516,0.00868516
70,5921.2,2.09656,0.84156,2.22463,0.94132,0.96082,0.98475,0.70748,2.208,0.75115,2.47541,0.00866582,0.00866582,0.00866582
71,5982.59,2.10314,0.84665,2.21554,0.94353,0.9609,0.98489,0.69581,2.28157,0.7644,2.5343,0.00864648,0.00864648,0.00864648
72,6043.78,2.07859,0.84042,2.2057,0.94531,0.9581,0.98499,0.70731,2.224,0.74678,2.48768,0.00862715,0.00862715,0.00862715
73,6105.14,2.10085,0.84665,2.20989,0.94232,0.964,0.9853,0.71675,2.13998,0.72735,2.42843,0.00860781,0.00860781,0.00860781
74,6166.03,2.087,0.84341,2.23432,0.94236,0.96222,0.98459,0.70203,2.25012,0.75349,2.50476,0.00858848,0.00858848,0.00858848
75,6227.35,2.09163,0.84124,2.22985,0.94,0.96313,0.98466,0.71294,2.19611,0.74467,2.47859,0.00856914,0.00856914,0.00856914
76,6340.62,2.0925,0.84213,2.22558,0.94262,0.95903,0.98551,0.70959,2.19916,0.74483,2.4677,0.0085498,0.0085498,0.0085498
77,6441.76,2.08768,0.83771,2.21003,0.93724,0.96532,0.9843,0.69278,2.3002,0.76265,2.53734,0.00853047,0.00853047,0.00853047
78,6693.86,2.09604,0.83732,2.22261,0.94319,0.96417,0.98612,0.73444,2.03082,0.70307,2.3571,0.00851113,0.00851113,0.00851113
79,6753.17,2.07639,0.83262,2.2069,0.942,0.96302,0.9858,0.71659,2.16574,0.73637,2.4417,0.0084918,0.0084918,0.0084918
80,6814.74,2.08929,0.8402,2.21389,0.93941,0.96574,0.98455,0.70371,2.2499,0.7492,2.50696,0.00847246,0.00847246,0.00847246
81,7051.56,2.0792,0.82976,2.19708,0.93998,0.9642,0.9852,0.70397,2.22277,0.74355,2.48603,0.00845313,0.00845313,0.00845313
82,7162.62,2.06386,0.83516,2.19532,0.94068,0.96441,0.98482,0.70793,2.20235,0.73962,2.46812,0.00843379,0.00843379,0.00843379
83,7405.42,2.06043,0.82557,2.20904,0.94463,0.96125,0.98561,0.72397,2.12651,0.73141,2.40918,0.00841445,0.00841445,0.00841445
84,7467.73,2.0777,0.83221,2.21884,0.93692,0.96298,0.98302,0.70106,2.25597,0.77027,2.51264,0.00839512,0.00839512,0.00839512
85,7535.27,2.07148,0.8267,2.21305,0.93957,0.96634,0.98535,0.7167,2.1614,0.72864,2.45421,0.00837578,0.00837578,0.00837578
86,7596.21,2.06851,0.82326,2.20054,0.94032,0.96227,0.98412,0.70351,2.26283,0.7648,2.50627,0.00835645,0.00835645,0.00835645
87,7696.28,2.06569,0.83095,2.21166,0.93918,0.96395,0.98538,0.70656,2.23661,0.74808,2.50314,0.00833711,0.00833711,0.00833711
88,7766.33,2.08504,0.83718,2.21416,0.93426,0.96692,0.9846,0.7099,2.20232,0.74808,2.46459,0.00831777,0.00831777,0.00831777
89,7998.41,2.08995,0.83889,2.20807,0.93885,0.95973,0.98368,0.69105,2.33844,0.78013,2.56398,0.00829844,0.00829844,0.00829844
90,8060.81,2.06553,0.82876,2.2066,0.93831,0.96525,0.98561,0.72044,2.14484,0.73303,2.4233,0.0082791,0.0082791,0.0082791
91,8122.48,2.05825,0.82845,2.19855,0.9392,0.96252,0.98496,0.68948,2.33714,0.76773,2.55145,0.00825977,0.00825977,0.00825977
92,8272.2,2.05769,0.82677,2.19772,0.94256,0.96297,0.9852,0.72194,2.13572,0.72954,2.42347,0.00824043,0.00824043,0.00824043
93,8332.63,2.05668,0.82543,2.18746,0.941,0.96364,0.98492,0.70806,2.21695,0.74422,2.47383,0.00822109,0.00822109,0.00822109
94,8411.26,2.05158,0.81874,2.18593,0.93843,0.9581,0.984,0.69908,2.28717,0.78461,2.53251,0.00820176,0.00820176,0.00820176
95,8488.5,2.04813,0.82428,2.19807,0.94151,0.96435,0.98514,0.71287,2.19556,0.73283,2.46387,0.00818242,0.00818242,0.00818242
96,8717.44,2.06832,0.82756,2.2038,0.94201,0.96313,0.98569,0.73599,2.04569,0.71444,2.36616,0.00816309,0.00816309,0.00816309
97,8787.58,2.06083,0.826,2.19486,0.93794,0.96751,0.98532,0.69913,2.27646,0.75151,2.52221,0.00814375,0.00814375,0.00814375
98,8856.18,2.03665,0.82103,2.1958,0.93918,0.96814,0.98551,0.7357,2.05899,0.70508,2.37122,0.00812441,0.00812441,0.00812441
99,8941.83,2.0499,0.81944,2.19848,0.94274,0.96018,0.98548,0.7019,2.28723,0.75978,2.53316,0.00810508,0.00810508,0.00810508
100,9003.75,2.05245,0.82384,2.19111,0.93949,0.96721,0.98508,0.71743,2.14724,0.72363,2.43854,0.00808574,0.00808574,0.00808574
101,9064.81,2.04757,0.82123,2.20412,0.94339,0.95886,0.98398,0.70316,2.23748,0.75238,2.50372,0.00806641,0.00806641,0.00806641
102,9126.4,2.03661,0.81358,2.17397,0.94072,0.96466,0.98534,0.72144,2.13084,0.72215,2.4227,0.00804707,0.00804707,0.00804707
103,9193.68,2.05086,0.8236,2.19494,0.9423,0.96503,0.98471,0.70377,2.23933,0.73964,2.51058,0.00802773,0.00802773,0.00802773
104,9255.05,2.02786,0.81014,2.17663,0.94321,0.95846,0.98522,0.73031,2.07808,0.71834,2.38243,0.0080084,0.0080084,0.0080084
105,9315.95,2.05293,0.81994,2.21191,0.94032,0.96464,0.98593,0.72343,2.12063,0.72525,2.40648,0.00798906,0.00798906,0.00798906
