epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.29458,3.4357,3.52901,3.01191,0.00733,0.02161,0.00383,0.00119,3.08825,3.59206,2.55198,0,0,0
2,7.4787,3.93901,3.5661,2.89,0.00667,0.01965,0.00344,0.00104,3.10857,3.59028,2.57022,1.34e-05,1.34e-05,1.34e-05
3,9.70148,3.84531,3.57757,2.70752,0.00667,0.01965,0.00342,0.00096,3.12107,3.58774,2.57878,1.36e-05,1.36e-05,1.36e-05
