epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.04,1.4482,1.02107,1.41639,0.95844,0.98247,0.97634,0.50184,1.62601,0.87021,1.35656,0.0700317,0.00332981,0.00332981
2,219.873,1.4048,0.95052,1.4138,0.95108,0.98155,0.97198,0.63369,1.20214,0.75355,1.16262,0.0400189,0.00665026,0.00665026
3,326.747,1.34428,0.86363,1.37945,0.95213,0.9797,0.96694,0.64949,1.18781,0.57663,1.14416,0.00999309,0.00995781,0.00995781
4,431.971,1.29503,0.82137,1.35293,0.95836,0.97668,0.96659,0.64807,1.15343,0.57482,1.12855,0.00994199,0.00994199,0.00994199
5,538.157,1.27049,0.77906,1.34754,0.95759,0.98247,0.97153,0.63759,1.27656,0.54754,1.16662,0.00992266,0.00992266,0.00992266
6,643.866,1.24393,0.75073,1.32201,0.95266,0.98524,0.97193,0.67359,1.1089,0.53028,1.12705,0.00990332,0.00990332,0.00990332
7,750.612,1.22541,0.72551,1.32066,0.96636,0.98041,0.97003,0.67979,1.07872,0.51659,1.10094,0.00988398,0.00988398,0.00988398
8,856.434,1.21632,0.72658,1.32898,0.95491,0.98616,0.97758,0.69544,1.09259,0.47805,1.11997,0.00986465,0.00986465,0.00986465
9,963.711,1.20127,0.70342,1.3045,0.96439,0.98247,0.97196,0.67735,1.10664,0.48375,1.1013,0.00984531,0.00984531,0.00984531
10,1070.47,1.1942,0.69853,1.30166,0.95839,0.9797,0.97017,0.67652,1.09962,0.50816,1.14166,0.00982598,0.00982598,0.00982598
11,1176.68,1.21098,0.70326,1.31509,0.96106,0.97891,0.9695,0.68337,1.09544,0.47799,1.09501,0.00980664,0.00980664,0.00980664
12,1282.63,1.17286,0.66698,1.2891,0.95984,0.98247,0.97226,0.6905,1.05071,0.47037,1.08848,0.0097873,0.0097873,0.0097873
13,1388.06,1.16162,0.66581,1.28355,0.96262,0.97601,0.97433,0.68838,1.06773,0.46658,1.11694,0.00976797,0.00976797,0.00976797
14,1494.2,1.16579,0.67056,1.28913,0.95899,0.98524,0.97341,0.68981,1.09731,0.472,1.12167,0.00974863,0.00974863,0.00974863
15,1600.66,1.17357,0.67452,1.28958,0.95621,0.98339,0.97239,0.68185,1.09237,0.46122,1.13291,0.0097293,0.0097293,0.0097293
16,1707.04,1.15156,0.66515,1.28273,0.96458,0.98524,0.97414,0.69426,1.06343,0.45144,1.09275,0.00970996,0.00970996,0.00970996
17,1813.4,1.15261,0.64835,1.28058,0.96043,0.9852,0.97036,0.68674,1.05665,0.4586,1.08385,0.00969063,0.00969063,0.00969063
18,1920.17,1.13487,0.63626,1.26969,0.96024,0.98432,0.97479,0.69956,1.06543,0.44355,1.08264,0.00967129,0.00967129,0.00967129
19,2025.69,1.13736,0.6297,1.27108,0.95624,0.98432,0.97203,0.70021,1.03383,0.43591,1.08002,0.00965195,0.00965195,0.00965195
20,2131.76,1.12109,0.63668,1.26811,0.9612,0.98432,0.9716,0.69091,1.06098,0.44738,1.09133,0.00963262,0.00963262,0.00963262
21,2238.4,1.135,0.63001,1.26759,0.96546,0.97993,0.97804,0.69929,1.07114,0.43552,1.0787,0.00961328,0.00961328,0.00961328
22,2344.39,1.12559,0.62038,1.26121,0.9613,0.98539,0.97364,0.70186,1.02821,0.43474,1.07917,0.00959395,0.00959395,0.00959395
