epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.39781,3.81761,3.60485,2.75112,0.00733,0.02161,0.00378,0.001,3.08604,3.5846,2.55215,0,0,0
2,2.19481,3.79709,3.57024,2.86888,0.00733,0.02161,0.00376,0.00112,3.10359,3.58269,2.57106,1.34e-05,1.34e-05,1.34e-05
3,2.89841,3.66726,3.61271,2.75273,0.00733,0.02161,0.00379,0.00104,3.12988,3.58182,2.59039,1.36e-05,1.36e-05,1.36e-05
